dateRep,day,month,year,cases,deaths,countriesAndTerritories
17/03/2020,17,3,2020,5,0,Afghanistan
16/03/2020,16,3,2020,6,0,Afghanistan
15/03/2020,15,3,2020,3,0,Afghanistan
11/03/2020,11,3,2020,3,0,Afghanistan
08/03/2020,8,3,2020,3,0,Afghanistan
02/03/2020,2,3,2020,0,0,Afghanistan
01/03/2020,1,3,2020,0,0,Afghanistan
29/02/2020,29,2,2020,0,0,Afghanistan
28/02/2020,28,2,2020,0,0,Afghanistan
27/02/2020,27,2,2020,0,0,Afghanistan
26/02/2020,26,2,2020,0,0,Afghanistan
25/02/2020,25,2,2020,1,0,Afghanistan
24/02/2020,24,2,2020,0,0,Afghanistan
23/02/2020,23,2,2020,0,0,Afghanistan
22/02/2020,22,2,2020,0,0,Afghanistan
21/02/2020,21,2,2020,0,0,Afghanistan
20/02/2020,20,2,2020,0,0,Afghanistan
19/02/2020,19,2,2020,0,0,Afghanistan
18/02/2020,18,2,2020,0,0,Afghanistan
17/02/2020,17,2,2020,0,0,Afghanistan
16/02/2020,16,2,2020,0,0,Afghanistan
15/02/2020,15,2,2020,0,0,Afghanistan
14/02/2020,14,2,2020,0,0,Afghanistan
13/02/2020,13,2,2020,0,0,Afghanistan
12/02/2020,12,2,2020,0,0,Afghanistan
11/02/2020,11,2,2020,0,0,Afghanistan
10/02/2020,10,2,2020,0,0,Afghanistan
09/02/2020,9,2,2020,0,0,Afghanistan
08/02/2020,8,2,2020,0,0,Afghanistan
07/02/2020,7,2,2020,0,0,Afghanistan
06/02/2020,6,2,2020,0,0,Afghanistan
05/02/2020,5,2,2020,0,0,Afghanistan
04/02/2020,4,2,2020,0,0,Afghanistan
03/02/2020,3,2,2020,0,0,Afghanistan
02/02/2020,2,2,2020,0,0,Afghanistan
01/02/2020,1,2,2020,0,0,Afghanistan
31/01/2020,31,1,2020,0,0,Afghanistan
30/01/2020,30,1,2020,0,0,Afghanistan
29/01/2020,29,1,2020,0,0,Afghanistan
28/01/2020,28,1,2020,0,0,Afghanistan
27/01/2020,27,1,2020,0,0,Afghanistan
26/01/2020,26,1,2020,0,0,Afghanistan
25/01/2020,25,1,2020,0,0,Afghanistan
24/01/2020,24,1,2020,0,0,Afghanistan
23/01/2020,23,1,2020,0,0,Afghanistan
22/01/2020,22,1,2020,0,0,Afghanistan
21/01/2020,21,1,2020,0,0,Afghanistan
20/01/2020,20,1,2020,0,0,Afghanistan
19/01/2020,19,1,2020,0,0,Afghanistan
18/01/2020,18,1,2020,0,0,Afghanistan
17/01/2020,17,1,2020,0,0,Afghanistan
16/01/2020,16,1,2020,0,0,Afghanistan
15/01/2020,15,1,2020,0,0,Afghanistan
14/01/2020,14,1,2020,0,0,Afghanistan
13/01/2020,13,1,2020,0,0,Afghanistan
12/01/2020,12,1,2020,0,0,Afghanistan
11/01/2020,11,1,2020,0,0,Afghanistan
10/01/2020,10,1,2020,0,0,Afghanistan
09/01/2020,9,1,2020,0,0,Afghanistan
08/01/2020,8,1,2020,0,0,Afghanistan
07/01/2020,7,1,2020,0,0,Afghanistan
06/01/2020,6,1,2020,0,0,Afghanistan
05/01/2020,5,1,2020,0,0,Afghanistan
04/01/2020,4,1,2020,0,0,Afghanistan
03/01/2020,3,1,2020,0,0,Afghanistan
02/01/2020,2,1,2020,0,0,Afghanistan
01/01/2020,1,1,2020,0,0,Afghanistan
31/12/2019,31,12,2019,0,0,Afghanistan
14/12/2020,14,12,2020,788,14,Albania
13/12/2020,13,12,2020,879,12,Albania
12/12/2020,12,12,2020,802,12,Albania
11/12/2020,11,12,2020,873,14,Albania
10/12/2020,10,12,2020,752,15,Albania
09/12/2020,9,12,2020,753,14,Albania
08/12/2020,8,12,2020,695,17,Albania
07/12/2020,7,12,2020,840,16,Albania
06/12/2020,6,12,2020,846,19,Albania
05/12/2020,5,12,2020,801,18,Albania
04/12/2020,4,12,2020,782,13,Albania
03/12/2020,3,12,2020,705,17,Albania
02/12/2020,2,12,2020,832,12,Albania
